date,category,amount
06-11-24,Dining Out,6800.0
10-11-24,Gifts,12000.0
14-11-24,Personal Care,3800.0
18-11-24,Healthcare,6100.0
22-11-24,Subscriptions,1200.0
26-11-24,Rent,25000.0
30-11-24,Transportation,4500.0
05-12-24,Groceries,5600.0
09-12-24,Fuel,9200.0
13-12-24,Travel,20000.0
17-12-24,Shopping,16000.0
21-12-24,Education,10000.0
25-12-24,Utilities,8000.0
29-12-24,Rent,25000.0
03-01-25,Groceries,5800.0
07-01-25,Dining Out,7200.0
11-01-25,Home Maintenance,9500.0
15-01-25,Healthcare,6400.0
19-01-25,Entertainment,7100.0
23-01-25,Fuel,9500.0
27-01-25,Rent,25000.0
31-01-25,Insurance,20000.0
04-02-25,Groceries,6000.0
08-02-25,Utilities,8200.0
12-02-25,Personal Care,4000.0
16-02-25,Shopping,17000.0
20-02-25,Gifts,13000.0
24-02-25,Rent,25000.0
28-02-25,Transportation,4800.0
05-03-25,Groceries,6200.0
09-03-25,Fuel,9800.0
13-03-25,Education,10000.0
17-03-25,Travel,22000.0
21-03-25,Healthcare,6700.0
25-03-25,Rent,25000.0
29-03-25,Subscriptions,1200.0
02-04-25,Groceries,6500.0
06-04-25,Utilities,8500.0
10-04-25,Dining Out,7500.0
14-04-25,Home Maintenance,10000.0
18-04-25,Shopping,18000.0
22-04-25,Entertainment,7500.0
26-04-25,Rent,25000.0
30-04-25,Insurance,20000.0
05-05-25,Groceries,6800.0
09-05-25,Fuel,10200.0
13-05-25,Personal Care,4200.0
17-05-25,Travel,24000.0
21-05-25,Education,10000.0
25-05-25,Rent,25000.0
29-05-25,Gifts,14000.0
03-06-25,Groceries,7000.0
07-06-25,Utilities,8800.0
11-06-25,Healthcare,7000.0
15-06-25,Shopping,19000.0
19-06-25,Dining Out,7800.0
23-06-25,Rent,25000.0
27-06-25,Transportation,5200.0
02-07-25,Groceries,7200.0
06-07-25,Fuel,10500.0
10-07-25,Entertainment,7800.0
14-07-25,Home Maintenance,11000.0
18-07-25,Subscriptions,1200.0
22-07-25,Rent,25000.0
26-07-25,Insurance,20000.0
30-07-25,Travel,26000.0
04-08-25,Groceries,7500.0
08-08-25,Utilities,9200.0
12-08-25,Shopping,20000.0
16-08-25,Personal Care,4500.0
20-08-25,Education,10000.0
24-08-25,Rent,25000.0
28-08-25,Gifts,15000.0
02-09-25,Groceries,7800.0
06-09-25,Fuel,10800.0
10-09-25,Dining Out,8100.0
14-09-25,Healthcare,7300.0
18-09-25,Entertainment,8500.0
22-09-25,Rent,25000.0
26-09-25,Transportation,5500.0
30-09-25,Home Maintenance,12000.0
05-10-25,Groceries,8000.0
09-10-25,Utilities,9500.0
13-10-25,Travel,28000.0
17-10-25,Shopping,21000.0
21-10-25,Subscriptions,1200.0
25-10-25,Rent,25000.0
29-10-25,Insurance,20000.0
03-11-25,Groceries,8200.0
07-11-25,Fuel,11000.0
11-11-25,Education,10000.0
15-11-25,Dining Out,8400.0
19-11-25,Personal Care,4800.0
23-11-25,Rent,25000.0
27-11-25,Gifts,16000.0
02-12-25,Groceries,8500.0
06-12-25,Utilities,9800.0
10-12-25,Healthcare,7500.0
14-12-25,Entertainment,9000.0
18-12-25,Shopping,22000.0
22-12-25,Rent,25000.0
26-12-25,Travel,30000.0
30-12-25,Home Maintenance,13000.0
